sep=;
Version CSV1|Tool CLUSTERCONTROLLER|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 2

;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 14625 (SENS0700 SN:14625);SN: 14625 (SENS0700 SN:14625);SN: 14625 (SENS0700 SN:14625);SN: 14625 (SENS0700 SN:14625);SN: 14625 (SENS0700 SN:14625);SN: 14625 (SENS0700 SN:14625);SN: 14625 (SENS0700 SN:14625);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901501309 (Com Gateway SN: 1901501309)
05.06.2019 00:25;976,72;198;114,93;112,01;0,00;-309;49,9;;;;;;;0;8,6;13,8;0;218,92;0;0;1,135;1,135;1,433;1,433;1,304;1,304;;;Ok;NonePrio;None;None;0;0;0;2,09;0;0,50;2;225,00;-107;49,89;218,89;0;0;0,75;0,75;1,6;1,6;1,964;1,964;Ok;0,30;2;225,00;-90;49,91;219,01;0;0;0,793;0,793;1,614;1,614;0,536;0,536;Ok;0,80;2;224,90;-112;49,9;218,88;0;0;1,864;1,864;1,086;1,086;1,414;1,414;Ok;0;8,6;13,8;0;Ok;13,5;8,6;976,72;198;114,93;112,01;0,00;;;;0,00;;;;;;-0,01;-0,01;-0,01;;;;;;;;;Ok;NonePrio;None;None;Ok
05.06.2019 00:30;976,72;198;114,93;112,01;0,00;-310;49,95;;;;;;;0;8,6;13,5;0;219,59;0;0;1,252;1,252;1,308;1,308;1,425;1,425;;;Ok;NonePrio;None;None;0;0;0;2,09;0;0,50;2;225,10;-106;49,96;219,51;0;0;0,786;0,786;1,407;1,407;2,036;2,036;Ok;0,30;2;225,10;-96;49,95;219,65;0;0;0,957;0,957;1,472;1,472;0,679;0,679;Ok;0,80;2;225,00;-108;49,94;219,62;0;0;2,015;2,015;1,046;1,046;1,562;1,562;Ok;0;8,6;13,5;0;Ok;13;9;976,72;198;114,93;112,01;0,00;;;;0,00;;;;;;-0,01;-0,01;-0,01;;;;;;;;;Ok;NonePrio;None;None;Ok
05.06.2019 00:35;976,72;198;114,93;112,01;0,00;-307;50,04;;;;;;;0;8,8;13,1;0;219,64;0;0;1,221;1,221;1,238;1,238;1,247;1,247;;;Ok;NonePrio;None;None;0;0;0;2,09;0;0,50;2;225,20;-111;50,05;219,66;0;0;0,772;0,772;1,322;1,322;1,857;1,857;Ok;0,30;2;225,20;-92;50,04;219,76;0;0;0,957;0,957;1,329;1,329;0,507;0,507;Ok;0,80;2;225,10;-104;50,04;219,51;0;0;1,936;1,936;1,064;1,064;1,379;1,379;Ok;0;8,8;13,1;0;Ok;13;8,9;976,72;198;114,93;112,01;0,00;;;;0,00;;;;;;-0,01;-0,01;-0,01;;;;;;;;;Ok;NonePrio;None;None;Ok
05.06.2019 00:40;976,72;198;114,93;112,01;0,00;-298;49,91;;;;;;;0;9,1;13;0;219,77;0;0;1,002;1,002;1,207;1,207;1,1;1,1;;;Ok;NonePrio;None;None;0;0;0;2,09;0;0,50;2;225,20;-103;49,91;219,59;0;0;0,543;0,543;1,193;1,193;1,543;1,543;Ok;0,30;2;225,20;-99;49,91;219,71;0;0;0,679;0,679;1,379;1,379;0,422;0,422;Ok;0,80;2;225,10;-96;49,91;220,01;0;0;1,786;1,786;1,05;1,05;1,336;1,336;Ok;0;9,1;13;0;Ok;12,9;8,7;976,72;198;114,93;112,01;0,00;;;;0,00;;;;;;-0,01;-0,01;-0,01;;;;;;;;;Ok;NonePrio;None;None;Ok
05.06.2019 00:45;976,72;198;114,93;112,01;0,00;-308;49,88;;;;;;;0;8,8;13,1;0;219,83;0;0;1,045;1,045;1,445;1,445;1,226;1,226;;;Ok;NonePrio;None;None;0;0;0;2,09;0;0,50;2;225,30;-100;49,89;219,73;0;0;0,572;0,572;1,629;1,629;1,843;1,843;Ok;0,30;2;225,30;-91;49,89;219,7;0;0;0,786;0,786;1,622;1,622;0,522;0,522;Ok;0,80;2;225,20;-117;49,88;220,08;0;0;1,777;1,777;1,085;1,085;1,315;1,315;Ok;0;8,8;13,1;0;Ok;13,5;8,4;976,72;198;114,93;112,01;0,00;;;;0,00;;;;;;-0,01;-0,01;-0,01;;;;;;;;;Ok;NonePrio;None;None;Ok
05.06.2019 00:50;976,72;198;114,93;112,01;0,00;-305;49,86;;;;;;;0;8,6;13,4;0;219,79;0;0;1,179;1,179;1,444;1,444;1,443;1,443;;;Ok;NonePrio;None;None;0;0;0;2,09;0;0,50;2;225,40;-101;49,86;219,66;0;0;0,65;0,65;1,643;1,643;2,057;2,057;Ok;0,30;2;225,40;-94;49,86;219,59;0;0;0,872;0,872;1,622;1,622;0,664;0,664;Ok;0,80;2;225,30;-110;49,86;220,13;0;0;2,015;2,015;1,069;1,069;1,608;1,608;Ok;0;8,6;13,4;0;Ok;12,9;8,4;976,72;198;114,93;112,01;0,00;;;;0,00;;;;;;-0,01;-0,01;-0,01;;;;;;;;;Ok;NonePrio;None;None;Ok
05.06.2019 00:55;976,72;198;114,93;112,01;0,00;-309;49,99;;;;;;;0;8,4;13,2;0;220,2;0;0;1,353;1,353;1,266;1,266;1,381;1,381;;;Ok;NonePrio;None;None;0;0;0;2,09;0;0,50;2;225,50;-106;50;220,17;0;0;0,9;0,9;1,336;1,336;2,079;2,079;Ok;0,30;2;225,50;-94;49,99;220,19;0;0;1,036;1,036;1,393;1,393;0,572;0,572;Ok;0,80;2;225,40;-109;50;220,25;0;0;2,123;2,123;1,069;1,069;1,492;1,492;Ok;0;8,4;13,2;0;Ok;13,3;8,4;976,72;198;114,93;112,01;0,00;;;;0,00;;;;;;-0,01;-0,01;-0,01;;;;;;;;;Ok;NonePrio;None;None;Ok
05.06.2019 01:00;976,72;198;114,93;112,01;0,00;-294;50,14;;;;;;;0;8,4;13,2;0;220,81;0;0;1,173;1,173;1,256;1,256;1,198;1,198;;;Ok;NonePrio;None;None;0;0;0;2,09;0;0,50;2;225,60;-92;50,14;220,76;0;0;0,729;0,729;1,372;1,372;1,793;1,793;Ok;0,30;2;225,60;-97;50,14;220,91;0;0;0,907;0,907;1,343;1,343;0,479;0,479;Ok;0,80;2;225,50;-105;50,15;220,77;0;0;1,885;1,885;1,054;1,054;1,323;1,323;Ok;0;8,4;13,2;0;Ok;13,5;8,6;976,72;198;114,93;112,01;0,00;;;;0,00;;;;;;-0,01;-0,01;-0,01;;;;;;;;;Ok;NonePrio;None;None;Ok
05.06.2019 01:05;976,72;198;114,93;112,01;0,00;-307;50,04;;;;;;;0;8,7;13,4;0;220,74;0;0;0,949;0,949;1,366;1,366;1,109;1,109;;;Ok;NonePrio;None;None;0;0;0;2,09;0;0,50;2;225,70;-99;50,04;220,73;0;0;0,507;0,507;1,507;1,507;1,6;1,6;Ok;0,30;2;225,70;-93;50,04;220,56;0;0;0,686;0,686;1,5;1,5;0,443;0,443;Ok;0,80;2;225,60;-115;50,05;220,95;0;0;1,654;1,654;1,092;1,092;1,285;1,285;Ok;0;8,7;13,4;0;Ok;13,3;8,4;976,72;198;114,93;112,01;0,00;;;;0,00;;;;;;-0,01;-0,01;-0,01;;;;;;;;;Ok;NonePrio;None;None;Ok
05.06.2019 01:10;976,72;198;114,93;112,01;0,00;-302;49,84;;;;;;;0;8,5;13,5;0;219,93;0;0;1,045;1,045;1,425;1,425;1,273;1,273;;;Ok;NonePrio;None;None;0;0;0;2,09;0;0,50;2;225,70;-102;49,84;219,82;0;0;0,543;0,543;1,629;1,629;1,886;1,886;Ok;0,30;2;225,70;-96;49,84;219,81;0;0;0,8;0,8;1,607;1,607;0,55;0,55;Ok;0,80;2;225,60;-104;49,85;220,18;0;0;1,792;1,792;1,039;1,039;1,385;1,385;Ok;0;8,5;13,5;0;Ok;13,2;8,3;976,72;198;114,93;112,01;0,00;;;;0,00;;;;;;-0,01;-0,01;-0,01;;;;;;;;;Ok;NonePrio;None;None;Ok
